feature,importance
cat__director_name_Steven Spielberg,5.091114302709846e-05
cat__director_name_Paul McGuigan,5.090488398628378e-05
cat__director_name_Yimou Zhang,5.0563105593653264e-05
cat__content_rating_Passed,5.020187762272622e-05
cat__genres_Crime|Thriller,5.0025835648701735e-05
cat__actor_1_name_Ray Winstone,4.962600753552123e-05
cat__actor_1_name_Tom Cruise,4.949066703087717e-05
cat__director_name_Paul W.S. Anderson,4.886290131842781e-05
cat__actor_1_name_Christian Bale,4.8228817799819413e-05
cat__actor_1_name_Emma Stone,4.7673049629437274e-05
cat__genres_Action|Adventure|Comedy|Family|Sci-Fi,4.7295955624177006e-05
cat__actor_1_name_Colin Firth,4.6901393027004324e-05
cat__director_name_Garry Marshall,4.666361179065836e-05
cat__language_Italian,4.6315808424618636e-05
cat__actor_1_name_Hugh Jackman,4.60762693030916e-05
cat__director_name_Chris Columbus,4.586687457504384e-05
cat__actor_1_name_Vin Diesel,4.544323360255265e-05
cat__actor_1_name_Jennifer Jason Leigh,4.532314638017053e-05
cat__director_name_Dennis Dugan,4.466117385521754e-05
cat__actor_2_name_Kenan Thompson,4.4571973168797944e-05
cat__director_name_John Singleton,4.4061946481799115e-05
cat__actor_1_name_Matthew McConaughey,4.35544727875741e-05
cat__genres_Adventure|Comedy|Family|Fantasy,4.3494032457503625e-05
cat__actor_2_name_Charlize Theron,4.3438164946505544e-05
cat__genres_Mystery|Thriller,4.315235086846247e-05
cat__genres_Comedy|Romance|Sport,4.304874900763842e-05
cat__actor_1_name_Philip Seymour Hoffman,4.295521448675354e-05
cat__actor_2_name_Angelina Jolie Pitt,4.290859544349698e-05
cat__actor_2_name_Rosario Dawson,4.2873258580730715e-05
cat__actor_1_name_Harrison Ford,4.2749829488593894e-05
cat__genres_Action|Adventure|Animation|Comedy|Family,4.246020770490114e-05
cat__director_name_Roland Emmerich,4.210028731403812e-05
cat__director_name_Simon West,4.208292092537889e-05
cat__actor_2_name_Clea DuVall,4.177305542101547e-05
cat__actor_1_name_Leonardo DiCaprio,4.1585243111132654e-05
cat__genres_Drama|War,4.1464992963375784e-05
cat__language_Cantonese,4.115297207741859e-05
cat__actor_2_name_Lin Shaye,4.0713860706984046e-05
cat__actor_1_name_Holly Hunter,4.0482132262873786e-05
cat__director_name_Tobe Hooper,4.0478393372169475e-05
cat__actor_1_name_Chris Hemsworth,4.0287352683311025e-05
cat__director_name_Robert Rodriguez,4.028131453592711e-05
cat__actor_1_name_Mila Kunis,3.9975891708361667e-05
cat__director_name_Michael Winterbottom,3.987549387928634e-05
cat__actor_1_name_Adam Sandler,3.947765333325341e-05
cat__actor_1_name_Brendan Fraser,3.947377931028448e-05
cat__actor_2_name_Demi Moore,3.924143589404559e-05
cat__actor_1_name_Bokeem Woodbine,3.9111287268694007e-05
cat__actor_2_name_Steve Buscemi,3.907418581074766e-05
cat__genres_Comedy|Drama|Music,3.860827180175518e-05
cat__director_name_Frank Coraci,3.856014892762086e-05
cat__genres_Adventure|Drama,3.789635216993358e-05
cat__genres_Biography|Drama|Romance,3.776304083632344e-05
cat__actor_1_name_Clint Eastwood,3.772022232490782e-05
cat__director_name_Tony Scott,3.7398286469987966e-05
cat__actor_1_name_Meryl Streep,3.710240968826146e-05
cat__actor_1_name_Rosario Dawson,3.6966608276372845e-05
cat__genres_Action|Drama,3.689415446864055e-05
cat__country_New Zealand,3.679742990915081e-05
cat__director_name_Ivan Reitman,3.659420317940838e-05
cat__genres_Comedy|Drama|Fantasy|Romance,3.6469713409796176e-05
cat__actor_1_name_Bill Cobbs,3.632365906080915e-05
cat__actor_1_name_Stephen Root,3.608736881567718e-05
cat__genres_Drama|Western,3.592531387669245e-05
cat__genres_Fantasy|Horror,3.534483197853155e-05
cat__director_name_Bobby Farrelly,3.5209562871993455e-05
cat__actor_1_name_Jeff Bridges,3.513997810795769e-05
cat__director_name_John Carpenter,3.502053030949617e-05
cat__actor_1_name_Angelina Jolie Pitt,3.4866788146569744e-05
cat__actor_1_name_Joseph Gordon-Levitt,3.48644979086494e-05
cat__director_name_Spike Lee,3.4789087784366e-05
cat__actor_1_name_Alfre Woodard,3.459411511272559e-05
cat__actor_1_name_Daniel Roebuck,3.3514831193282264e-05
cat__genres_Comedy|Crime|Thriller,3.345019142283475e-05
cat__actor_1_name_Jennifer Lawrence,3.327220521661656e-05
cat__director_name_Peter Jackson,3.291830366885048e-05
cat__actor_2_name_Jay Hernandez,3.281053217488707e-05
cat__actor_1_name_Bernie Mac,3.269062137565626e-05
cat__genres_Adventure|Drama|Romance,3.2683969623422764e-05
cat__director_name_Michael Bay,3.2635759945000735e-05
cat__genres_Action|Drama|Sci-Fi|Thriller,3.246685406781672e-05
cat__actor_2_name_Gary Cole,3.2456991480997654e-05
cat__genres_Biography|Crime|Drama,3.204299214632289e-05
cat__director_name_George A. Romero,3.1678354561418864e-05
cat__actor_1_name_Oliver Platt,3.153445515263811e-05
cat__actor_1_name_Jake Gyllenhaal,3.146727140662958e-05
cat__actor_1_name_Jamie Lee Curtis,3.0911670693276974e-05
cat__director_name_Paul Verhoeven,3.053422651897405e-05
cat__actor_1_name_Haley Joel Osment,3.050935579067434e-05
cat__language_Russian,3.0221571432282275e-05
cat__actor_1_name_Justin Timberlake,3.0102832758097923e-05
cat__actor_2_name_Robert Duvall,3.0009863034256053e-05
cat__actor_1_name_Bob Hoskins,2.9656657966654378e-05
cat__genres_Action|Drama|War,2.960856848409254e-05
cat__director_name_Brian De Palma,2.953842110172595e-05
cat__actor_1_name_Judy Greer,2.9457107569599122e-05
cat__actor_3_name_Shawn Hatosy,2.9282891878837377e-05
cat__actor_1_name_Sarah Michelle Gellar,2.917187549512383e-05
cat__actor_1_name_Woody Allen,2.9107284351488032e-05
